epoch;acc;loss;val_acc;val_loss
0;0.0997600000024;18.4688909137;0.1;17.2810330902
1;0.10000000001;16.5679043689;0.1003;16.0064106964
2;0.100000000005;15.6684418845;0.1027;15.3481431534
3;0.1;15.2106020477;0.1015;15.036408548
4;0.10000000001;14.9577480209;0.0973;14.9143074539
5;0.100000000002;14.8089057877;0.0966;14.8105093109
6;0.100000000014;14.716679805;0.1011;14.6649349472
0;0.0998000000024;14.4801583051;0.1;14.5062856812
1;0.10000000001;14.506285661;0.1003;14.5014501846
0;0.0998000000024;14.4770612726;0.1;14.5062856812
0;0.0998000000012;14.47747474;0.1;14.506285733
